"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","QGDP","TOT","PC_CHGPP","Q","1965-Q4",2.630098,
"KOR","QGDP","TOT","PC_CHGPP","Q","1966-Q1",5.484614,
"KOR","QGDP","TOT","PC_CHGPP","Q","1966-Q2",6.624464,
"KOR","QGDP","TOT","PC_CHGPP","Q","1966-Q3",-1.903791,
"KOR","QGDP","TOT","PC_CHGPP","Q","1966-Q4",1.843725,
"KOR","QGDP","TOT","PC_CHGPP","Q","1967-Q1",2.663697,
"KOR","QGDP","TOT","PC_CHGPP","Q","1967-Q2",2.558912,
"KOR","QGDP","TOT","PC_CHGPP","Q","1967-Q3",3.718138,
"KOR","QGDP","TOT","PC_CHGPP","Q","1967-Q4",1.418113,
"KOR","QGDP","TOT","PC_CHGPP","Q","1968-Q1",5.74487,
"KOR","QGDP","TOT","PC_CHGPP","Q","1968-Q2",1.796159,
"KOR","QGDP","TOT","PC_CHGPP","Q","1968-Q3",4.582468,
"KOR","QGDP","TOT","PC_CHGPP","Q","1968-Q4",-1.086666,
"KOR","QGDP","TOT","PC_CHGPP","Q","1969-Q1",4.77995,
"KOR","QGDP","TOT","PC_CHGPP","Q","1969-Q2",3.668656,
"KOR","QGDP","TOT","PC_CHGPP","Q","1969-Q3",7.555943,
"KOR","QGDP","TOT","PC_CHGPP","Q","1969-Q4",2.371989,
"KOR","QGDP","TOT","PC_CHGPP","Q","1970-Q1",-1.803269,
"KOR","QGDP","TOT","PC_CHGPP","Q","1970-Q2",4.115313,
"KOR","QGDP","TOT","PC_CHGPP","Q","1970-Q3",0.411535,
"KOR","QGDP","TOT","PC_CHGPP","Q","1970-Q4",7.754353,
"KOR","QGDP","TOT","PC_CHGPP","Q","1971-Q1",0.695473,
"KOR","QGDP","TOT","PC_CHGPP","Q","1971-Q2",2.966367,
"KOR","QGDP","TOT","PC_CHGPP","Q","1971-Q3",0.243142,
"KOR","QGDP","TOT","PC_CHGPP","Q","1971-Q4",0.817549,
"KOR","QGDP","TOT","PC_CHGPP","Q","1972-Q1",1.574354,
"KOR","QGDP","TOT","PC_CHGPP","Q","1972-Q2",2.585679,
